verdict,censusRecordId,censusName,hiltonName,ctyhocn,censusStatus,hiltonStatus,hiltonOpenDate,city,country,affiliation
match,recakpiy3h4GVib7S,The Fives Downtown Hotel & Residences Curio Collection by Hilton,"The Fives Downtown Hotel & Residences, Curio Collection by Hilton",CUNCUQQ,Open,Open,2017-12-14,Playa del Carmen,Mexico,Curio Collection by Hilton
match,recay9xFI8MtlYzHh,Hampton Inn Merida,Hampton Inn by Hilton Merida,MIDHXHX,Open,Open,2015-08-13,Merida,Mexico,Hampton by Hilton
unverified_no_code,recb68oT5LFG7G29l,Hampton by Hilton Rosario,,,Pipeline,,,Rosario,Argentina,Hampton by Hilton
match,recbKqG7onY9CGh38,Hampton by Hilton Santo Domingo Airport,Hampton by Hilton Santo Domingo Airport,SDQAPHX,Open,Open,2017-12-14,Santo Domingo,Dominican Republic,Hampton by Hilton
match,recbVuvzXs4Ql6eVS,Hilton Garden Inn Iquique,Hilton Garden Inn Iquique,IQQCLGI,Open,Open,2016-03-03,Iquique,Chile,Hilton Garden Inn
unverified_no_code,recbd0xveGeTxBx8s,Tru by Hilton Arecibo,,,Pipeline,,,Arecibo,Puerto Rico,Tru by Hilton
match,recbdedl2JBYhgHJY,Hampton by Hilton Santiago Las Condes,Hampton by Hilton Santiago Las Condes,SCLARHX,Open,Open,2023-09-14,Santiago,Chile,Hampton by Hilton
unverified_no_code,recbrgHCWRzxEIbEK,Tru by Hilton Sao Paulo Tatuapé,,,Pipeline,,,Sao Paulo,Brazil,Tru by Hilton
match,recbwfCdvb9eM7QXh,Hilton Garden Inn Cancun Airport,Hilton Garden Inn Cancun Airport,CUNROGI,Open,Open,2022-03-01,Cancun,Mexico,Hilton Garden Inn
match,recc9iBzvAiIhqWkp,Hampton Inn by Hilton Monterrey-Airport,Hampton Inn by Hilton Monterrey Apodaca,MTYTVHX,Open,Open,2018-06-28,Apodaca,Mexico,Hampton by Hilton
match,recchfm6iGfZQvmTV,Hilton Porto Alegre,Hilton Porto Alegre,POAOBHH,Open,Open,2022-02-01,Porto Alegre,Brazil,Hilton
match,reccnr9ls6vsNqeTl,Hampton by Hilton Montevideo Carrasco,Hampton by Hilton Montevideo Carrasco,MVDHXHX,Open,Open,2017-08-22,Montevideo,Uruguay,Hampton by Hilton
match,reccrgIzgwN619CSv,Tru Ciudad Valles,Tru by Hilton Ciudad Valles,SLPCVRU,Pipeline,Pipeline,2026-09-24,Ciudad Valles,Mexico,Tru by Hilton
match,recd2KmrvpM1S5Amv,Homewood Suites by Hilton Saltillo,Homewood Suites by Hilton Saltillo,SLWSMHW,Open,Open,2025-08-28,Saltillo,Mexico,Homewood Suites by Hilton
