sourceRecordId,rawHotelName,rawCity,rawCountry,rawBrand,rawWebsite,qualityScore,qualityTier,missingFields,route,reason,matchedBrand,matchedFamily,independentLaneEligible,censusMatchConfidence,censusRecommendedAction,matchedCensusName,signalKinds
way/344008918,Hotel La Cita,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/344009786,Aurora del Sol,Santo Domingo Este,Dominican Republic,,,75,high,missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/344193447,Hotel Súper,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/359598125,JW Marriott Santo Domingo,Santo Domingo,Dominican Republic,JW Marriott,https://www.marriott.com/hotels/travel/sdqjw-jw-marriott-hotel-santo-domingo/,100,high,missingPhone,route_branded_active_setup,name_alias_match,JW Marriott,,false,medium,likely_existing,JW Marriott Hotel Santo Domingo,osm_brand_tag_unresolved|official_brand_domain|known_chain_domain|name_alias_match|known_chain_name
way/361426122,Alto Caño Hondo,,Dominican Republic,,https://www.paraisocanohondo.com/alojamiento/altos-cano-hondo.aspx,80,high,missingCity,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/363761504,Casa del Mar Lodge Barahona,,Dominican Republic,,http://www.casadelmarlodgebarahona.com/,80,high,missingCity,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/365721803,Hotel Baramar,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/365721961,Gran Hotel Barahona,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/373914205,Hotel El Crucero,,Dominican Republic,,,55,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,none,likely_new_candidate,,
way/378375761,Holiday Inn,Santo Domingo,Dominican Republic,Holiday Inn,,85,high,missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,Holiday Inn,Holiday Inn,false,medium,likely_existing,Holiday Inn Santo Domingo,osm_brand_tag_unresolved|known_chain_name
way/379027094,Hotel BQ;Vent W&P Santo Domingo,Santo Domingo,Dominican Republic,,https://workandpleasurehotels.com/,90,high,missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,low,needs_research,Hotel W & P Santo Domingo,
way/389775943,Hotel 8,,Dominican Republic,,,60,medium,missingCity|missingWebsite|missingPhone,independent_unaffiliated_candidate,no_active_brand_signal,,,true,low,needs_research,Hotel Caribe,
way/404174344,Westin,,Dominican Republic,Westin,,65,medium,missingCity|missingWebsite|missingPhone,route_branded_active_setup,osm_brand_tag,Westin,,false,low,needs_research,Westin Hotels Santo Domingo Avda Sarasota,osm_brand_tag|name_alias_match|known_chain_name
way/404430604,Hotel Acuarium,Santo Domingo,Dominican Republic,,,75,high,missingWebsite|missingPhone,route_known_chain_not_active,known_chain_name,RIU,RIU,false,none,likely_new_candidate,,known_chain_name
