ownerName,priorityTier,propertyCount,countriesSummary,companyName,matchType,researchStatus,hasCompanyOverview,website,researchAction
Kavia Hotels,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Mercantile Investment Corporation (Bolivia) S.A.,C,1,Bolivia,Mercan Group,partial,import_only,false,https://mercan.com,add_costar_profile_screenshot
K.C Hotels Pvt Ltd,C,1,Costa Rica,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Southern Palms Hotel Limited,C,1,Barbados,Palm Holdings,partial,import_only,false,https://palm-holdings.com,add_costar_profile_screenshot
G Hotels,C,1,Mexico,Milling Hotels,partial,import_only,false,https://millinghotels.dk,add_costar_profile_screenshot
Greentique Hotels,C,1,Costa Rica,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Banyan Tree Hotels & Resorts Pte. Ltd,C,1,Mexico,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Ocean Hotels Group,C,1,Barbados,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
KSL Capital Partners,C,1,Saint-Barthélemy,KSL Capital Partners,exact,import_only,false,https://kslcapital.com,add_costar_profile_screenshot
Julio Osvaldo Dominguez,C,1,Paraguay,SV Group,partial,import_only,false,https://sv-group.ch,add_costar_profile_screenshot
Rede Fenix Hoteis,C,1,Brazil,Rede Fenix Hoteis,exact,import_only,false,https://fenixhoteis.com.br,add_costar_profile_screenshot
Owner 1: K-Group | Owner 2: FM Developments Ltd,C,1,Saint Vincent and the Grenadines,JMK Group,partial,import_only,false,,add_costar_profile_screenshot
Lia Hotels,C,1,Costa Rica,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
SAS 369 DEGRES Hotels & Villas,C,1,Saint-Barthélemy,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Jonathon Kane,C,1,Aruba,Nath Inc.,partial,import_only,false,https://nathinc.com,add_costar_profile_screenshot
Aranwa Hotels Resorts & Spas,C,1,Costa Rica,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Iberia Hotels,C,1,Panama,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Bill & Renee Humphrey,C,1,Puerto Rico,L&R,partial,import_only,false,https://lrp.co.uk,add_costar_profile_screenshot
One Eleuthera Foundation,C,1,Bahamas,Foundation Group,partial,import_only,false,https://foundationgroup.co.uk,add_costar_profile_screenshot
Dreamers Welcome,C,1,Puerto Rico,"Welcome Group, Inc.",partial,import_only,false,https://welcomegroupinc.com,add_costar_profile_screenshot
Colibri Boutique Hotels,C,1,Nicaragua,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
"Time Equities, Inc.",C,1,Anguilla,EQ Group,partial,import_only,false,https://eqgrp.com,add_costar_profile_screenshot
Amarla Hotels,C,1,Panama,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
MJB Hotels,C,1,US Virgin Islands,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Select Small Hotels,C,1,Panama,AG Hotels,partial,import_only,false,https://aghotels.co.uk,add_costar_profile_screenshot
Owner 1: The Family Coppola | Owner 2: Bourbon Hotels & Resorts,C,1,Argentina,Bourbon Hotels & Resorts,exact,import_only,false,https://bourbon.com.br,add_costar_profile_screenshot
Louis Bacon,C,1,Panama,Louis Group,partial,import_only,false,https://louishotels.com,add_costar_profile_screenshot
